Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Variant Price,Variant Requires Shipping,Variant Taxable,Metafield: custom.popularity_message [string],Metafield: custom.intro_badge [string],Metafield: custom.year [number_integer],Metafield: custom.language [string],Metafield: custom.format [string],Metafield: custom.file_size [string],Metafield: custom.sale_prefix [string],Metafield: custom.sale_timer [string],Metafield: custom.ai_training_data [string]
emotion-in-posttraumatic-stress-disorder-etiology-assessment-neurobiology-and-treatment,"Emotion in Posttraumatic Stress Disorder : Etiology, Assessment, Neurobiology, and Treatment","<p>Emotion in Posttraumatic Stress Disorder: Etiology, Assessment, Neurobiology, and Treatment starts with an overview of the theoretical and empirical literature on specific emotions such as fear, anxiety, shame, guilt, disgust, and others, also discussing their relationship with PTSD. The book then moves into an exploration of the psychophysiology and neurobiological underpinnings of emotion in PTSD, followed by a review of the emotional difficulties individuals with PTSD encounter, such as distress intolerance, experiential avoidance, emotion driven impulsivity, and information-processing deficits. The book concludes with a section looking at different treatment approaches for PTSD, with a particular focus on effectively targeting emotion dysfunction in PTSD. Treatment approaches covered include acceptance-based therapy, self-compassion, emotion-regulation based methods, and more. Summarizes the literature on emotions, emotion dysfunction and PTSD Looks at genetic influences on emotional responding in PTSD Explores emotional granularity and emotion-driven impulsivity Outlines prolonged exposure, cognitive processing therapy, and other treatment methods</p>","Matthew Tull (Editor), Nathan Kimbrel (Editor)",Book,"pdf, English, 2020, 8.4 MB",TRUE,4.00,FALSE,FALSE,Sold 12+ times in the last 24 hours,Bestseller,2020,English,pdf,8.4 MB,Save,2:00:00,"Product: Emotion in Posttraumatic Stress Disorder : Etiology, Assessment, Neurobiology, and Treatment | Author: Matthew Tull (Editor), Nathan Kimbrel (Editor) | Year: 2020 | Language: English | Format: pdf | Details: Emotion in Posttraumatic Stress Disorder: Etiology, Assessment, Neurobiology, and Treatment starts with an overview of the theoretical and empirical literature on specific emotions such as fear, anxiety, shame, guilt, disgust, and others, also discussing their relationship with PTSD. The book then moves into an exploration of the psychophysiology and neurobiological underpinnings of emotion in PTSD, followed by a review of the emotional difficulties individuals with PTSD encounter, such as distress intolerance, experiential avoidance, emotion driven impulsivity, and information-processing deficits. The book concludes with a section looking at different treatment approaches for PTSD, with a particular focus on effectively targeting emotion dysfunction in PTSD. Treatment approaches covered include acceptance-based therapy, self-compassion, emotion-regulation based methods, and more. Summarizes the literature on emotions, emotion dysfunction and PTSD Looks at genetic influences on emotional responding in PTSD Explores emotional granularity and emotion-driven impulsivity Outlines prolonged exposure, cognitive processing therapy, and other treatment methods"
essential-psychodynamic-psychotherapy-an-acquired-art,Essential Psychodynamic Psychotherapy : An Acquired Art,"<p>Essential Psychodynamic Psychotherapy : An Acquired Art provides an essential, accessible grounding in current psychodynamic theory and practice for a wide range of readers. For trainees, it offers a very useful toolset to help them make the transition from purely theoretical training to the uncharted territory of clinical practice. For more seasoned therapists and those seeking to deepen their understanding of psychodynamic therapy, it provides conceptual clarity, and may also serve as a stepping stone to more complex and denser psychoanalytic works written for advanced clinicians. Essential Psychodynamic Psychotherapy: An Acquired Art is an introduction to how to think and work psychodynamically. It is written primarily for those training at a postgraduate level in psychoanalysis and psychodynamic psychotherapy, but reaches well beyond that audience. It is grounded in contemporary psychoanalytic theory, drawing on the work of Winnicott, Bion, and Ogden, all of whom are pivotal in current psychodynamic thought and practice. It also integrates attachment theory and research, and includes fresh contributions from neuropsychological research. The voice of the book is honest and intimate. The tone is practical. It is written with a clear-minded understanding of contemporary psychodynamic theory that allows the new therapist to access the deepest and richest parts of the therapy itself. It translates many of the key theoretical tenets of psychodynamic psychotherapy,...</p>",Teri Quatman,Book,"pdf, English, 2015, 3.7 MB",TRUE,4.00,FALSE,FALSE,Sold 12+ times in the last 24 hours,Bestseller,2015,English,pdf,3.7 MB,Save,2:00:00,"Product: Essential Psychodynamic Psychotherapy : An Acquired Art | Author: Teri Quatman | Year: 2015 | Language: English | Format: pdf | Details: Essential Psychodynamic Psychotherapy : An Acquired Art provides an essential, accessible grounding in current psychodynamic theory and practice for a wide range of readers. For trainees, it offers a very useful toolset to help them make the transition from purely theoretical training to the uncharted territory of clinical practice. For more seasoned therapists and those seeking to deepen their understanding of psychodynamic therapy, it provides conceptual clarity, and may also serve as a stepping stone to more complex and denser psychoanalytic works written for advanced clinicians. Essential Psychodynamic Psychotherapy: An Acquired Art is an introduction to how to think and work psychodynamically. It is written primarily for those training at a postgraduate level in psychoanalysis and psychodynamic psychotherapy, but reaches well beyond that audience. It is grounded in contemporary psychoanalytic theory, drawing on the work of Winnicott, Bion, and Ogden, all of whom are pivotal in current psychodynamic thought and practice. It also integrates attachment theory and research, and includes fresh contributions from neuropsychological research. The voice of the book is honest and intimate. The tone is practical. It is written with a clear-minded understanding of contemporary psychodynamic theory that allows the new therapist to access the deepest and richest parts of the therapy itself. It translates many of the key theoretical tenets of psychodynamic psychotherapy,..."
the-power-of-mindful-learning-a-merloyd-lawrence-book,The Power of Mindful Learning (A Merloyd Lawrence Book),"<p>""Radical in its implications, this original and important work may change forever the views we hold about the nature of learning. In The Power of Mindful Learning, Ellen Langer uses her innovative theory of mindulness, introduced in her influential earlier book, to dramatically enhance the way we learn. In business, sports, laboratories, or at home, our learning is hobbled by certain antiquated and pervasive misconceptions. In this pithy, liberating, and delightful book she gives us a fresh, new view of learning in the broadest sense. Such familiar notions as delayed gratification, ""the basics"", or even ""right answers"", are all incapacitating myths which Langer explodes one by one. She replaces them with her concept of mindful or conditional learning which she demonstrates, with fascinating examples from her research, to be extraordinarily effective. Mindful learning takes place with an awareness of context and of the ever-changing nature of information. Learning without this awareness, as Langer shows convincingly, has severely limited uses and often sets on up for failure. With stunning applications to skills as diverse as paying attention, CPR, investment analysis, psychotherapy, or playing a musical instrument, The Power of Mindful Learning is for all who are curious and intellectually adventurous""-- Provided by publisher</p>","Ellen J. Langer, Ellen J. Langer",Book,"pdf, English, 1997, 1.1 MB",TRUE,4.00,FALSE,FALSE,Sold 12+ times in the last 24 hours,Bestseller,1997,English,pdf,1.1 MB,Save,2:00:00,"Product: The Power of Mindful Learning (A Merloyd Lawrence Book) | Author: Ellen J. Langer, Ellen J. Langer | Year: 1997 | Language: English | Format: pdf | Details: ""Radical in its implications, this original and important work may change forever the views we hold about the nature of learning. In The Power of Mindful Learning, Ellen Langer uses her innovative theory of mindulness, introduced in her influential earlier book, to dramatically enhance the way we learn. In business, sports, laboratories, or at home, our learning is hobbled by certain antiquated and pervasive misconceptions. In this pithy, liberating, and delightful book she gives us a fresh, new view of learning in the broadest sense. Such familiar notions as delayed gratification, ""the basics"", or even ""right answers"", are all incapacitating myths which Langer explodes one by one. She replaces them with her concept of mindful or conditional learning which she demonstrates, with fascinating examples from her research, to be extraordinarily effective. Mindful learning takes place with an awareness of context and of the ever-changing nature of information. Learning without this awareness, as Langer shows convincingly, has severely limited uses and often sets on up for failure. With stunning applications to skills as diverse as paying attention, CPR, investment analysis, psychotherapy, or playing a musical instrument, The Power of Mindful Learning is for all who are curious and intellectually adventurous""-- Provided by publisher"
act-questions-and-answers-a-practitioner-s-guide-to-150-common-sticking-points-in-acceptance-and-commitment-therapy,ACT Questions and Answers : A Practitioner's Guide to 150 Common Sticking Points in Acceptance and Commitment Therapy,"<p>Renowned ACT expert Russ Harris presents easy-to-read Q&A sessions to uncover the most common ways clients and practitioners get stuck when using ACT, how to get unstuck, and how to transform that “stuckness” into powerful personal growth. Acceptance and commitment therapy (ACT) is a highly effective, evidence-based treatment for a number of mental health issues—from depression to addiction—that focuses on mindfulness, client values, and a commitment to change. It also provides innovative tools, techniques, and strategies for promoting psychological flexibility and profound behavioral change. However, there are several challenges and frustrations that can arise when delivering ACT in-session. In the tradition of the hugely popular professional guide ACT Made Simple , ACT Questions and Answers offers practical tools for overcoming common sticking points in-session. You’ll find effective tips and strategies for moving past misconceptions about mindfulness and acceptance, how to deal with reluctant or unmotivated clients, and how to break down communication barriers that can stand in the way of progress. You’ll also find links to free downloadable resources. If you are new to ACT—or just want to improve your delivery—this easy-to-read reference guide will help you troubleshoot common in-session challenges and help your clients achieve lasting change.</p>",Russ Harris,Book,"pdf, English, 2018, 23.9 MB",TRUE,4.00,FALSE,FALSE,Sold 12+ times in the last 24 hours,Bestseller,2018,English,pdf,23.9 MB,Save,2:00:00,"Product: ACT Questions and Answers : A Practitioner's Guide to 150 Common Sticking Points in Acceptance and Commitment Therapy | Author: Russ Harris | Year: 2018 | Language: English | Format: pdf | Details: Renowned ACT expert Russ Harris presents easy-to-read Q&A sessions to uncover the most common ways clients and practitioners get stuck when using ACT, how to get unstuck, and how to transform that “stuckness” into powerful personal growth. Acceptance and commitment therapy (ACT) is a highly effective, evidence-based treatment for a number of mental health issues—from depression to addiction—that focuses on mindfulness, client values, and a commitment to change. It also provides innovative tools, techniques, and strategies for promoting psychological flexibility and profound behavioral change. However, there are several challenges and frustrations that can arise when delivering ACT in-session. In the tradition of the hugely popular professional guide ACT Made Simple , ACT Questions and Answers offers practical tools for overcoming common sticking points in-session. You’ll find effective tips and strategies for moving past misconceptions about mindfulness and acceptance, how to deal with reluctant or unmotivated clients, and how to break down communication barriers that can stand in the way of progress. You’ll also find links to free downloadable resources. If you are new to ACT—or just want to improve your delivery—this easy-to-read reference guide will help you troubleshoot common in-session challenges and help your clients achieve lasting change."
values-in-therapy-a-clinician-s-guide-to-helping-clients-explore-values-increase-psychological-flexibility-and-live-a-more-meaningful-life,"Values in Therapy : A Clinician's Guide to Helping Clients Explore Values, Increase Psychological Flexibility, and Live a More Meaningful Life","<p>Values in Practice is powerful and practical guide for any therapist--chock-full of insight and tools to conceptualize, integrate, and effectively apply values work in-session. With an emphasis on cultivating meaning and vitality in client lives, the values component of acceptance and commitment therapy (ACT) is what draws many clinicians to the treatment model. Yet, until now, there have been no practical guides available on values-based practice written from an ACT perspective. And while values work may appear deceptively simple, it's often difficult to effectively carry out in practice. That's where this comprehensive guide comes in. Values in Practice emphasizes the facilitation of specific qualities inherent in effective values conversations, such as vitality, choice, present-focused awareness, and willing vulnerability. This book will help you move away from basic techniques and exercises and toward the nuance and skills you need to do effective values work. You'll also learn how to use these tools, with detailed scripts for in-session exercises, handouts for clients, homework ideas, assessment and tracking tools, case examples, practical vignettes, and more. Whether you're an ACT clinician, or simply looking to incorporate values-based work into your treatment, this essential guide provides everything you need to help clients connect with what really matters to them, so they can live full and meaningful lives.</p>",Jenna Lejeune; Jason B. Luoma Phd,Book,"pdf, English, 2019, 14.3 MB",TRUE,4.00,FALSE,FALSE,Sold 12+ times in the last 24 hours,Bestseller,2019,English,pdf,14.3 MB,Save,2:00:00,"Product: Values in Therapy : A Clinician's Guide to Helping Clients Explore Values, Increase Psychological Flexibility, and Live a More Meaningful Life | Author: Jenna Lejeune; Jason B. Luoma Phd | Year: 2019 | Language: English | Format: pdf | Details: Values in Practice is powerful and practical guide for any therapist--chock-full of insight and tools to conceptualize, integrate, and effectively apply values work in-session. With an emphasis on cultivating meaning and vitality in client lives, the values component of acceptance and commitment therapy (ACT) is what draws many clinicians to the treatment model. Yet, until now, there have been no practical guides available on values-based practice written from an ACT perspective. And while values work may appear deceptively simple, it's often difficult to effectively carry out in practice. That's where this comprehensive guide comes in. Values in Practice emphasizes the facilitation of specific qualities inherent in effective values conversations, such as vitality, choice, present-focused awareness, and willing vulnerability. This book will help you move away from basic techniques and exercises and toward the nuance and skills you need to do effective values work. You'll also learn how to use these tools, with detailed scripts for in-session exercises, handouts for clients, homework ideas, assessment and tracking tools, case examples, practical vignettes, and more. Whether you're an ACT clinician, or simply looking to incorporate values-based work into your treatment, this essential guide provides everything you need to help clients connect with what really matters to them, so they can live full and meaningful lives."
self-preservation-at-the-center-of-personality-superego-and-ego-ideal-in-the-regulation-of-safety,Self-preservation at the center of personality : superego and ego ideal in the regulation of safety,"<p>Annotation The book discusses personality as a unified set of evolved and culturally developed structures that serves a single and definable purpose, to maintain the individual's safety, in the context of dyadic relationships, group processes and more abstract and fluid social configurations. The infant-mother relationship remains the blueprint for modes of relating to the social surround, at whatever level of complexity, and for approximating the sense of safety originally provided by the mother. The personality is organized around the need to maintain self-esteem, thereby preserving the individual's sense of safety and warding off deep-seated paranoid anxiety, which signals the potential of annihilation of the self. Paranoid anxiety is the counterpart of intraspecific aggression and the potential of the group as a whole to attack and annihilate the individual. Paranoid anxiety, which was recognized by Melanie Klein as playing a critical role in infant development, is not overcome as development proceeds but remains latent, buried under layers of personality organization that are essentially concerned with sourcing recognition and approval from the social environment, thereby inhibiting others' aggression and guarding against annihilation of the self. The book adds to self psychology (Kohut) by showing how the principle of self-preservation underpins all aspects of normal and abnormal character dynamics. It integrates self psychology with other branches psychoanalytic...</p>",Ralf-Peter Behrendt,Book,"pdf, English, 2016, 56.8 MB",TRUE,4.00,FALSE,FALSE,Sold 12+ times in the last 24 hours,Bestseller,2016,English,pdf,56.8 MB,Save,2:00:00,"Product: Self-preservation at the center of personality : superego and ego ideal in the regulation of safety | Author: Ralf-Peter Behrendt | Year: 2016 | Language: English | Format: pdf | Details: Annotation The book discusses personality as a unified set of evolved and culturally developed structures that serves a single and definable purpose, to maintain the individual's safety, in the context of dyadic relationships, group processes and more abstract and fluid social configurations. The infant-mother relationship remains the blueprint for modes of relating to the social surround, at whatever level of complexity, and for approximating the sense of safety originally provided by the mother. The personality is organized around the need to maintain self-esteem, thereby preserving the individual's sense of safety and warding off deep-seated paranoid anxiety, which signals the potential of annihilation of the self. Paranoid anxiety is the counterpart of intraspecific aggression and the potential of the group as a whole to attack and annihilate the individual. Paranoid anxiety, which was recognized by Melanie Klein as playing a critical role in infant development, is not overcome as development proceeds but remains latent, buried under layers of personality organization that are essentially concerned with sourcing recognition and approval from the social environment, thereby inhibiting others' aggression and guarding against annihilation of the self. The book adds to self psychology (Kohut) by showing how the principle of self-preservation underpins all aspects of normal and abnormal character dynamics. It integrates self psychology with other branches psychoanalytic..."
progress-in-behavior-modification-volume-11,Progress in Behavior Modification : Volume 11,"<p>Progress in Behavior Modification, Volume 11 covers the developments in the study of behavior modification. The book discusses the pluralistic psychology of behavior change; the methodological issues in child behavior therapy; and the interpersonal-skills training with adolescents. The text also describes the behavior modification of work and work-related problems; the behavioral treatment of migraine and muscle-contraction headaches; and the modification of children's social withdrawal. An assessment of hyperactive children, with regard to the psychometric, methodological, and practical considerations, is considered. Psychologists, psychiatrists, and sociologists will find the book invaluable.</p>","Michel Hersen, Richard M. Eisler And Peter M. Miller (Eds.)",Book,"pdf, English, 1981, 4.4 MB",TRUE,4.00,FALSE,FALSE,Sold 12+ times in the last 24 hours,Bestseller,1981,English,pdf,4.4 MB,Save,2:00:00,"Product: Progress in Behavior Modification : Volume 11 | Author: Michel Hersen, Richard M. Eisler And Peter M. Miller (Eds.) | Year: 1981 | Language: English | Format: pdf | Details: Progress in Behavior Modification, Volume 11 covers the developments in the study of behavior modification. The book discusses the pluralistic psychology of behavior change; the methodological issues in child behavior therapy; and the interpersonal-skills training with adolescents. The text also describes the behavior modification of work and work-related problems; the behavioral treatment of migraine and muscle-contraction headaches; and the modification of children's social withdrawal. An assessment of hyperactive children, with regard to the psychometric, methodological, and practical considerations, is considered. Psychologists, psychiatrists, and sociologists will find the book invaluable."
the-texture-of-treatment-electronic-resource-on-the-matter-of-psychoanalytic-technique,The texture of treatment [electronic resource] : on the matter of psychoanalytic technique,"<p>In simple, jargon-free language, Herbert Schlesinger sets out to demystify technique, to show how it is based on basic principles that are applicable both to psychoanalysis and to the psychotherapies that derive from it. He has little need for conventional theory; rather, he reframes essential analytic notions - transference, resistance, interpretation, regression, empathy - as processes and assigns technique the goal of promoting the patient's activity within the treatment situation. The aim of the analytic therapist is to restore to the patient active control of his own life. Utilizing basic premises of systems theory, Schlesinger approaches personality and neurosis alike as self-stabilizing systems that can be changed only with persistent effort. Follow-up interpretations that address the patient's responses to previous interpretations are crucial. Similarly, the analyst views the transference as'rules of behavior'the patient has created that limit the freedom of both parties in the treatment. Interpretation speaks to the patient's inability to make full use of the freedom the analytic situation affords to explore how his mind works. Viewing neuroses as what the patient does, rather than what he has, the analyst sees the'resisting'patient not as opposing the treatment but rather doing what the patient feels he must do both to accommodate to the demands of the script of an unconscious fantasy and to provide for his own sense of safety. Beautifully illustrated with...</p>","Schlesinger, Herbert J.",Book,"pdf, English, 2013, 5.5 MB",TRUE,4.00,FALSE,FALSE,Sold 12+ times in the last 24 hours,Bestseller,2013,English,pdf,5.5 MB,Save,2:00:00,"Product: The texture of treatment [electronic resource] : on the matter of psychoanalytic technique | Author: Schlesinger, Herbert J. | Year: 2013 | Language: English | Format: pdf | Details: In simple, jargon-free language, Herbert Schlesinger sets out to demystify technique, to show how it is based on basic principles that are applicable both to psychoanalysis and to the psychotherapies that derive from it. He has little need for conventional theory; rather, he reframes essential analytic notions - transference, resistance, interpretation, regression, empathy - as processes and assigns technique the goal of promoting the patient's activity within the treatment situation. The aim of the analytic therapist is to restore to the patient active control of his own life. Utilizing basic premises of systems theory, Schlesinger approaches personality and neurosis alike as self-stabilizing systems that can be changed only with persistent effort. Follow-up interpretations that address the patient's responses to previous interpretations are crucial. Similarly, the analyst views the transference as'rules of behavior'the patient has created that limit the freedom of both parties in the treatment. Interpretation speaks to the patient's inability to make full use of the freedom the analytic situation affords to explore how his mind works. Viewing neuroses as what the patient does, rather than what he has, the analyst sees the'resisting'patient not as opposing the treatment but rather doing what the patient feels he must do both to accommodate to the demands of the script of an unconscious fantasy and to provide for his own sense of safety. Beautifully illustrated with..."
science-and-human-behavior-ebook-nc-digital-library,Science and human behavior [eBook - NC Digital Library,"<p>The psychology classic—a detailed study of scientific theories of human nature and the possible ways in which human behavior can be predicted and controlled— from one of the most influential behaviorists of the twentieth century and the author of Walden Two . ""This is an important book, exceptionally well written, and logically consistent with the basic premise of the unitary nature of science. Many students of society and culture would take violent issue with most of the things that Skinner has to say, but even those who disagree most will find this a stimulating book."" —Samuel M. Strong, The American Journal of Sociology ""This is a remarkable book—remarkable in that it presents a strong, consistent, and all but exhaustive case for a natural science of human behavior...It ought to be...valuable for those whose preferences lie with, as well as those whose preferences stand against, a behavioristic approach to human activity."" —Harry Prosch, Ethics</p>","Skinner, B. F",Book,"epub, English, 2014, 0.9 MB",TRUE,4.00,FALSE,FALSE,Sold 12+ times in the last 24 hours,Bestseller,2014,English,epub,0.9 MB,Save,2:00:00,"Product: Science and human behavior [eBook - NC Digital Library | Author: Skinner, B. F | Year: 2014 | Language: English | Format: epub | Details: The psychology classic—a detailed study of scientific theories of human nature and the possible ways in which human behavior can be predicted and controlled— from one of the most influential behaviorists of the twentieth century and the author of Walden Two . ""This is an important book, exceptionally well written, and logically consistent with the basic premise of the unitary nature of science. Many students of society and culture would take violent issue with most of the things that Skinner has to say, but even those who disagree most will find this a stimulating book."" —Samuel M. Strong, The American Journal of Sociology ""This is a remarkable book—remarkable in that it presents a strong, consistent, and all but exhaustive case for a natural science of human behavior...It ought to be...valuable for those whose preferences lie with, as well as those whose preferences stand against, a behavioristic approach to human activity."" —Harry Prosch, Ethics"
reimagining-therapy-through-social-contextual-analyses-finding-new-ways-to-support-people-in-distress,REIMAGINING THERAPY THROUGH SOCIAL CONTEXTUAL ANALYSES : finding new ways to support people in... distress,"<p>This book attempts to ‘shake up’ the current complacency around therapy and ‘mental health’ behaviours by putting therapy fully into context using Social Contextual Analysis; showing how changes to our social, discursive, and societal environments, rather than changes to an individual’s ‘mind’, will reduce suffering from the ‘mental health’ behaviours. Guerin challenges many assumptions about both current therapy and psychology, and offers alternative approaches, synthesized from sociology, social anthropology, sociolinguistics, and elsewhere. The book provides a way of addressing the ‘mental health’ behaviours including actions, talking, thinking, and emotions, by taking people’s external life situations into account, and not relying on an imagined ‘internal source’. Guerin describes the broad contexts for current Western therapies, referring to social, discursive, cultural, societal, and economic contexts, and suggests that we need to research the components of therapies and stop treating therapies as units. He reframes different types of therapy away from their abstract jargons, offering an alternative approach grounded in our real social worlds, aligning with new thinking that challenges the traditional methods of therapy, and also providing a better framework for rethinking psychology itself. The book ultimately suggests more emphasis should be put on ‘mental health’ behaviours as arising from social issues including the modern contexts of extreme capitalism,...</p>",Bernard. Guerin,Book,"pdf, English, 2022, 6.8 MB",TRUE,4.00,FALSE,FALSE,Sold 12+ times in the last 24 hours,Bestseller,2022,English,pdf,6.8 MB,Save,2:00:00,"Product: REIMAGINING THERAPY THROUGH SOCIAL CONTEXTUAL ANALYSES : finding new ways to support people in... distress | Author: Bernard. Guerin | Year: 2022 | Language: English | Format: pdf | Details: This book attempts to ‘shake up’ the current complacency around therapy and ‘mental health’ behaviours by putting therapy fully into context using Social Contextual Analysis; showing how changes to our social, discursive, and societal environments, rather than changes to an individual’s ‘mind’, will reduce suffering from the ‘mental health’ behaviours. Guerin challenges many assumptions about both current therapy and psychology, and offers alternative approaches, synthesized from sociology, social anthropology, sociolinguistics, and elsewhere. The book provides a way of addressing the ‘mental health’ behaviours including actions, talking, thinking, and emotions, by taking people’s external life situations into account, and not relying on an imagined ‘internal source’. Guerin describes the broad contexts for current Western therapies, referring to social, discursive, cultural, societal, and economic contexts, and suggests that we need to research the components of therapies and stop treating therapies as units. He reframes different types of therapy away from their abstract jargons, offering an alternative approach grounded in our real social worlds, aligning with new thinking that challenges the traditional methods of therapy, and also providing a better framework for rethinking psychology itself. The book ultimately suggests more emphasis should be put on ‘mental health’ behaviours as arising from social issues including the modern contexts of extreme capitalism,..."
an-introduction-to-theories-of-learning,An Introduction to Theories of Learning,"<p>Defines learning and shows how the learning process is studied. Clearly written and user-friendly, Introduction to the Theories of Learning places learning in its historical perspective and provides appreciation for the figures and theories that have shaped 100 years of learning theory research. The 9th edition has been updated with the most current research in the field. With Pearson's MySearchLab with interactive eText and Experiment's Tool, this program is more user-friendly than ever. Learning Goals Upon completing this book, readers should be able to: Define learning and show how the learning process is studied Place learning theory in historical perspective Present essential features of the major theories of learning with implications for educational practice Note: MySearchLab does not come automatically packaged with this text. To purchase MySearchLab, please visit: www.mysearchlab.com or you can purchase a ValuePack of the text + MySearchLab (at no additional cost).</p>","Matthew H. Olson, B. R. Hergenhahn",Book,"epub, English, 2015, 6.4 MB",TRUE,4.00,FALSE,FALSE,Sold 12+ times in the last 24 hours,Bestseller,2015,English,epub,6.4 MB,Save,2:00:00,"Product: An Introduction to Theories of Learning | Author: Matthew H. Olson, B. R. Hergenhahn | Year: 2015 | Language: English | Format: epub | Details: Defines learning and shows how the learning process is studied. Clearly written and user-friendly, Introduction to the Theories of Learning places learning in its historical perspective and provides appreciation for the figures and theories that have shaped 100 years of learning theory research. The 9th edition has been updated with the most current research in the field. With Pearson's MySearchLab with interactive eText and Experiment's Tool, this program is more user-friendly than ever. Learning Goals Upon completing this book, readers should be able to: Define learning and show how the learning process is studied Place learning theory in historical perspective Present essential features of the major theories of learning with implications for educational practice Note: MySearchLab does not come automatically packaged with this text. To purchase MySearchLab, please visit: www.mysearchlab.com or you can purchase a ValuePack of the text + MySearchLab (at no additional cost)."
handbook-of-clinical-child-psychology-integrating-theory-and-research-into-practice,Handbook of Clinical Child Psychology : Integrating Theory and Research Into Practice,"<p>This comprehensive handbook explores the many issues affecting children’s physical and mental health. Its coverage spans a broad range of topics, exploring the history and foundations of clinical child psychology as well as the discipline’s theories, research base, ethical and legal implications, and diagnostic systems, including the NIMH’s Research Domain Criteria (RDoC). The handbook examines family risk factors for children (e.g., parental stress, divorce, and depression) and provides leading-edge reviews of cognitive variables (e.g., theories of memory, executive function, theories of intelligence, theory of mind and cognitive tempo). In addition, it describes methods of assessment, including checklists, interviews, and methods of treatment (e.g., cognitive behavior therapy, mindfulness, and family therapy). Chapters focus on assessment of specific diagnostic categories, such as depression, anxiety, selective mutism, ADHD, and pediatric topics, including chronic pain, childhood cancer, childhood obesity, and toilet training. Finally, the book addresses such emerging issues as gender diversity, social justice, cyberbullying, internet gaming disorder and the impact of COVID-19. Key areas of coverage include: Foundations of clinical child psychology. Cognition and clinical child psychology. Testing, assessment, and treatment methods in child psychology. Neurodevelopmental and pediatric disorders in childhood. Assessment and treatments for...</p>","Johnny L. Matson, (Ed.)",Book,"pdf, English, 2023, 39.9 MB",TRUE,4.00,FALSE,FALSE,Sold 12+ times in the last 24 hours,Bestseller,2023,English,pdf,39.9 MB,Save,2:00:00,"Product: Handbook of Clinical Child Psychology : Integrating Theory and Research Into Practice | Author: Johnny L. Matson, (Ed.) | Year: 2023 | Language: English | Format: pdf | Details: This comprehensive handbook explores the many issues affecting children’s physical and mental health. Its coverage spans a broad range of topics, exploring the history and foundations of clinical child psychology as well as the discipline’s theories, research base, ethical and legal implications, and diagnostic systems, including the NIMH’s Research Domain Criteria (RDoC). The handbook examines family risk factors for children (e.g., parental stress, divorce, and depression) and provides leading-edge reviews of cognitive variables (e.g., theories of memory, executive function, theories of intelligence, theory of mind and cognitive tempo). In addition, it describes methods of assessment, including checklists, interviews, and methods of treatment (e.g., cognitive behavior therapy, mindfulness, and family therapy). Chapters focus on assessment of specific diagnostic categories, such as depression, anxiety, selective mutism, ADHD, and pediatric topics, including chronic pain, childhood cancer, childhood obesity, and toilet training. Finally, the book addresses such emerging issues as gender diversity, social justice, cyberbullying, internet gaming disorder and the impact of COVID-19. Key areas of coverage include: Foundations of clinical child psychology. Cognition and clinical child psychology. Testing, assessment, and treatment methods in child psychology. Neurodevelopmental and pediatric disorders in childhood. Assessment and treatments for..."
performance-based-family-therapy-a-therapist-s-guide-to-measurable-change,Performance-Based Family Therapy : A Therapist’s Guide to Measurable Change,"<p>In this groundbreaking book, Charles Fishman uniquely incorporates and develops results-based accountability (RBA) into the framework of structural family therapy. Collaborating with the founder of RBA, Mark Friedman, this approach aims to transform the field of family therapy by allowing clinicians to track performance effectively and efficiently with their clients. The book begins by reviewing the historical foundations of family therapy and evaluates why challenges in the field, alternative methods, and the reliance on evidence-based medicine (EBM) have meant that family therapy may not have flourished to the extent that many of us expected. It then explores how RBA can be integrated into intensive structural therapy (IST), with chapters examining how RBA can be applied in context, such as in treating eating disorders, supervision, and how it can be used to transform the professional’s clinical contexts. Relevant and practical, the book also introduces the community resource specialist to help in the treatment of socially disadvantaged families, as well as practical appendices and ""tracking tools"" to empower clinicians to track their data and choose treatment models that obtain best outcomes. This new approach offers transparent and measurable outcomes for both clinicians and training family therapists, lending a helping hand in making family therapy the gold standard in psychotherapy. It is essential reading for undergraduate and graduate students of family therapy,...</p>",H. Charles. Fishman,Book,"pdf, English, 2022, 15.1 MB",TRUE,4.00,FALSE,FALSE,Sold 12+ times in the last 24 hours,Bestseller,2022,English,pdf,15.1 MB,Save,2:00:00,"Product: Performance-Based Family Therapy : A Therapist’s Guide to Measurable Change | Author: H. Charles. Fishman | Year: 2022 | Language: English | Format: pdf | Details: In this groundbreaking book, Charles Fishman uniquely incorporates and develops results-based accountability (RBA) into the framework of structural family therapy. Collaborating with the founder of RBA, Mark Friedman, this approach aims to transform the field of family therapy by allowing clinicians to track performance effectively and efficiently with their clients. The book begins by reviewing the historical foundations of family therapy and evaluates why challenges in the field, alternative methods, and the reliance on evidence-based medicine (EBM) have meant that family therapy may not have flourished to the extent that many of us expected. It then explores how RBA can be integrated into intensive structural therapy (IST), with chapters examining how RBA can be applied in context, such as in treating eating disorders, supervision, and how it can be used to transform the professional’s clinical contexts. Relevant and practical, the book also introduces the community resource specialist to help in the treatment of socially disadvantaged families, as well as practical appendices and ""tracking tools"" to empower clinicians to track their data and choose treatment models that obtain best outcomes. This new approach offers transparent and measurable outcomes for both clinicians and training family therapists, lending a helping hand in making family therapy the gold standard in psychotherapy. It is essential reading for undergraduate and graduate students of family therapy,..."
